,latitude,longitude,azimuth,elevation
126,42.10993426,77.18832361,2.99,25.71
127,41.99477169,77.14722663,2.87,26.03
128,41.82200443,77.08580095,2.69,26.51
129,41.70681387,77.04499683,2.57,26.83
130,41.59161223,77.00430831,2.44,27.16
131,41.53400496,76.98400631,2.38,27.33
132,41.41878684,76.94348957,2.25,27.66
133,41.30355782,76.90308627,2.12,28.00
134,41.18831797,76.86279558,1.98,28.34
135,41.07306736,76.82261664,1.84,28.69
136,41.01543572,76.80256802,1.77,28.86
137,40.90016908,76.76255517,1.63,29.21
138,40.78489185,76.72265201,1.48,29.57
139,40.66960409,76.68285772,1.33,29.93
140,40.55430354,76.64317071,1.18,30.29
141,40.49665052,76.62336788,1.10,30.48
142,40.38133671,76.58384227,0.94,30.85
143,40.26601259,76.54442275,0.78,31.23
144,40.15067591,76.50510773,0.61,31.61
145,40.03533137,76.46589803,0.44,31.99
146,39.91997671,76.42679209,0.26,32.38
147,39.86229561,76.40727778,0.17,32.58
148,39.74692357,76.36832526,359.99,32.98
149,39.63154388,76.32947537,359.80,33.38
150,39.51615429,76.29072661,359.61,33.78
151,39.40075254,76.25207744,359.42,34.20
152,39.34304915,76.23279065,359.32,34.40
153,39.22763507,76.19429144,359.11,34.82
154,39.11221128,76.15589079,358.90,35.25
155,38.99677554,76.11758720,358.69,35.68
156,38.93905756,76.09847302,358.58,35.90
157,38.82360747,76.06031485,358.35,36.34
158,38.70815021,76.02225352,358.12,36.78
159,38.59268120,75.98428679,357.89,37.23
160,38.47720513,75.94641550,357.64,37.68
161,38.36171973,75.90863820,357.39,38.14
162,38.30397355,75.88978459,357.26,38.38
163,38.18847428,75.85214700,357.00,38.84
164,38.07296349,75.81460097,356.73,39.32
165,37.95744590,75.77714733,356.46,39.80
166,37.84191924,75.73978468,356.17,40.28
167,37.72638355,75.70251234,355.87,40.78
168,37.61083658,75.66532893,355.57,41.27
169,37.49528301,75.62823530,355.26,41.78
170,37.43750290,75.60972168,355.10,42.03
171,37.32193605,75.57276040,354.77,42.55
172,37.20635810,75.53588583,354.43,43.06
173,37.09077375,75.49909882,354.07,43.59
174,36.97518071,75.46239801,353.71,44.12
175,36.85957672,75.42578204,353.34,44.66
176,36.80177499,75.40750707,353.14,44.93
177,36.68615815,75.37101834,352.75,45.47
178,36.57053514,75.33461441,352.34,46.02
179,36.45490134,75.29829323,351.91,46.58
180,36.33926147,75.26205565,351.47,47.14
181,36.28143839,75.24396775,351.25,47.43
182,36.16578601,75.20785338,350.78,48.00
183,36.05012534,75.17182043,350.30,48.57
184,35.93445412,75.13586759,349.80,49.15
185,35.81877703,75.09999573,349.28,49.74
186,35.76093544,75.08208973,349.01,50.04
