,latitude,longitude,azimuth,elevation
126,41.02292013,73.62356728,354.26,32.79
127,40.90764101,73.58354351,353.99,33.17
128,40.84999864,73.56357324,353.85,33.37
129,40.73470600,73.52371463,353.58,33.76
130,40.61940287,73.48396456,353.30,34.15
131,40.56174508,73.46412919,353.15,34.35
132,40.44642635,73.42454045,352.86,34.75
133,40.33109730,73.38505826,352.56,35.16
134,40.27342892,73.36535688,352.40,35.36
135,40.15808219,73.32603226,352.09,35.78
136,40.04272762,73.28681302,351.77,36.19
137,39.98504655,73.26724239,351.61,36.40
138,39.86967685,73.22817862,351.27,36.83
139,39.75429482,73.18921675,350.93,37.25
140,39.69660356,73.16977526,350.75,37.47
141,39.58120663,73.13096601,350.40,37.90
142,39.52350563,73.11159962,350.22,38.12
143,39.35038792,73.05365078,349.65,38.78
144,39.17724599,72.99592469,349.07,39.45
145,39.11952795,72.97673217,348.87,39.68
146,39.00408467,72.93842046,348.46,40.13
147,38.88863183,72.90020595,348.04,40.59
148,38.83089952,72.88113415,347.82,40.83
149,38.71543244,72.84306411,347.39,41.29
150,38.59995595,72.80508949,346.93,41.76
151,38.54221419,72.78613776,346.70,42.00
152,38.42672136,72.74830424,346.23,42.47
153,38.31122158,72.71056521,345.74,42.95
154,38.25346823,72.69173062,345.49,43.19
155,38.13795464,72.65413090,344.98,43.68
156,38.02242958,72.61662245,344.46,44.16
157,37.96466713,72.59790366,344.19,44.41
158,37.84912848,72.56053203,343.64,44.90
159,37.73358314,72.52325153,343.07,45.40
160,37.67580712,72.50464498,342.78,45.65
161,37.56024838,72.46749885,342.18,46.15
162,37.50246336,72.44895837,341.88,46.40
163,37.38689134,72.41194516,341.25,46.90
164,37.27131054,72.37501977,340.61,47.41
165,37.15572099,72.33818157,339.94,47.92
166,37.09792064,72.31979424,339.60,48.17
167,36.98231808,72.28308566,338.90,48.68
168,36.92451358,72.26476353,338.54,48.94
169,36.80889813,72.22818319,337.80,49.45
170,36.69327183,72.19168685,337.04,49.96
171,36.63545665,72.17347063,336.65,50.22
172,36.51981997,72.13710098,335.85,50.73
173,36.40417489,72.10081456,335.02,51.24
174,36.34634920,72.08270237,334.59,51.50
175,36.23068927,72.04653896,333.72,52.01
176,36.11502338,72.01045804,332.81,52.51
177,36.05718735,71.99244806,332.35,52.77
178,35.94150912,71.95648869,331.40,53.27
179,35.82582274,71.92060963,330.41,53.77
180,35.76797417,71.90269933,329.91,54.02
181,35.65227563,71.86693969,328.87,54.52
182,35.53656904,71.83125896,327.80,55.01
183,35.47871042,71.81344729,327.24,55.25
184,35.36299186,71.77788388,326.11,55.73
185,35.24726537,71.74239798,324.94,56.20
